Country ID, X-coordinate, Y-coordinate
0, 13, 61
1, 75, 41
2, 66, 80
3, 74, 71
4, 10, 66
5, 44, 67
6, 28, 34
7, 46, 86
8, 55, 40
9, 5, 92
10, 83, 99
11, 17, 94
12, 69, 68
13, 6, 55
14, 19, 46
15, 49, 24
16, 54, 36
17, 74, 82
18, 70, 33
19, 14, 78
20, 76, 42
21, 52, 85
22, 85, 49
23, 45, 69
24, 47, 80
25, 24, 1
26, 3, 8
27, 79, 69
28, 67, 67
29, 71, 77
30, 56, 32
31, 67, 32
32, 48, 44
33, 99, 11
34, 6, 81
35, 19, 57
36, 64, 84
37, 82, 67
38, 23, 48
39, 65, 46
40, 12, 86
41, 33, 92
42, 42, 60
43, 24, 89
44, 58, 10
45, 97, 35
46, 64, 81
47, 41, 16
48, 70, 63
49, 26, 36
50, 18, 92
51, 76, 14
52, 47, 23
53, 26, 85
54, 84, 24
55, 13, 29
56, 10, 58
57, 28, 35
58, 61, 70
59, 20, 51
60, 61, 27
61, 66, 26
62, 49, 29
63, 43, 97
64, 94, 63
65, 50, 37
66, 86, 17
67, 70, 34
68, 92, 58
69, 55, 55
70, 57, 91
71, 71, 47
72, 96, 75
73, 57, 11
74, 59, 13
75, 86, 30
76, 68, 40
77, 58, 67
78, 68, 44
79, 91, 81
80, 78, 86
81, 2, 7
82, 28, 50
83, 31, 29
84, 76, 0
85, 3, 75
86, 17, 26
87, 29, 63
88, 18, 87
89, 38, 66
90, 53, 78
91, 79, 78
92, 98, 20
93, 68, 54
94, 0, 0
95, 35, 52
96, 55, 39
97, 42, 56
98, 35, 97
99, 13, 10
