Country ID, X-coordinate, Y-coordinate
0, 57, 78
1, 80, 48
2, 46, 92
3, 45, 16
4, 55, 53
5, 25, 89
6, 37, 30
7, 73, 2
8, 49, 94
9, 89, 11
10, 8, 69
11, 50, 22
12, 87, 54
13, 94, 75
14, 57, 28
15, 31, 0
16, 14, 14
17, 11, 66
18, 38, 44
19, 58, 76
20, 27, 62
21, 15, 11
22, 42, 46
23, 29, 80
24, 31, 6
25, 94, 60
26, 79, 63
27, 75, 39
28, 26, 1
29, 59, 3
30, 56, 61
31, 57, 2
32, 0, 49
33, 42, 5
34, 18, 71
35, 90, 41
36, 49, 91
37, 36, 93
38, 45, 33
39, 48, 41
40, 65, 39
41, 80, 70
42, 6, 73
43, 28, 23
44, 86, 88
45, 72, 85
46, 78, 77
47, 51, 36
48, 43, 49
