,params,fitness,best_route,duration
0,"{'population_size': 700, 'generations': 1200, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012690355329949238,"[96  8 65 32 69 77 58 29  2 46 36 70 21 90 24  7 63 98 41 43 53 19 40 88
 50 11  9 34 85  4  0 56 13 14 82 95 97 42  5 23 89 87 35 59 38 49 57  6
 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 54 75 45 92 33  1
 20 22 68 64 72 79 10 80 17 91 37 27  3 12 28 48 93 71 78 39 76 67 18 31
 61 60 30 16 96]",16.03218102455139
1,"{'population_size': 200, 'generations': 1200, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012626262626262627,"[80 17 29 48 93 71  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77
 58 28 12  3 27 37 91  2 46 36 70 21 90 24  7 63 98 41 43 53 88 50 11  9
 40 19 34 85  4  0 56 13 35 59 14 38 95 97 42  5 23 89 87 82 49 57  6 83
 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51 84 66 92 33 54 75 45 22 68
 64 72 79 10 80]",4.363157033920288
2,"{'population_size': 1000, 'generations': 800, 'elite_size': 20, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012626262626262627,"[16 96  8 65 32 69 77 58 28 12  3 29 17  2 46 36 70 21 90 23  5 42 97 95
 82 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 41 98 63  7 24 89 87
 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 33
 92 54 75 45 22 68 64 72 79 10 80 91 27 37 48 93 71 78 39 76  1 20 67 18
 31 61 60 30 16]",15.174530982971191
3,"{'population_size': 700, 'generations': 600, 'elite_size': 5, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.001256281407035176,"[46 36 70 21 90 23  5 42 97 95 82 38 14 59 35  0 56 13  4 85 34  9 40 19
 88 50 11 43 53 41 98 63  7 24 89 87 49  6 57 83 86 55 99 26 81 94 25 47
 52 15 62 74 73 44 84 51 66 54 75 92 33 45 22  1 20 93 71 78 39 76 67 18
 31 61 60 30 16 96  8 65 32 69 77 58 28 12 48  3 27 37 68 64 72 79 10 80
 91 17 29  2 46]",7.97624397277832
4,"{'population_size': 1000, 'generations': 800, 'elite_size': 10, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012547051442910915,"[56 13 35 59 38 82 95 97 42  5 23 89 87 14 49  6 57 83 86 55 99 26 81 94
 25 47 52 15 62 74 73 44 84 51 66 54 75 45 92 33  1 20 22 68 64 72 79 10
 80 27 37 48 93 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28
 12  3 91 17 29  2 46 36 70 21 90 24  7 63 98 41 53 43 88 50 11  9 40 34
 85 19  4  0 56]",15.448163986206055
5,"{'population_size': 1000, 'generations': 1200, 'elite_size': 20, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012547051442910915,"[91 27 37  3 12 28 48 93 71 78 39 76 20  1 67 18 31 61 60 30 16 96  8 65
 32 69 77 58 29  2 46 36 70 21 90 23  5 89 42 97 95 82 59 35  0 56 13  4
 85 34 19 40  9 88 50 11 43 53 41 98 63  7 24 87 38 14 49  6 57 83 86 55
 99 26 81 94 25 47 52 15 62 74 73 44 51 84 33 92 66 54 75 45 22 68 64 72
 79 10 80 17 91]",22.95505380630493
6,"{'population_size': 1000, 'generations': 1200, 'elite_size': 30, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012547051442910915,"[71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91
 17 29  2 46 36 70 21 90 24  7 63 98 41 43 53 88 50 11  9 40 19 34 85  4
  0 56 13 14 82 95 97 42  5 23 89 87 35 59 38 49  6 57 83 86 55 99 26 81
 94 25 47 52 15 62 74 73 44 84 51 66 54 75 45 92 33  1 20 22 68 64 72 79
 10 80 48 93 71]",22.94905686378479
7,"{'population_size': 1000, 'generations': 600, 'elite_size': 20, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012515644555694619,"[ 5 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 11 50 88 43 53 41
 98 63  7 24 89 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 66 92 33 54 75 45 22 68 64 72 79 10 80 17 29 48 93 71  1 20 78 39
 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91  2 46 36
 70 21 90 23  5]",11.41108512878418
8,"{'population_size': 1000, 'generations': 800, 'elite_size': 10, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012515644555694619,"[92 54 75 45 22 68 64 72 79 10 80  3 48 93 71 78 39 76  1 20 67 18 31 61
 60 30 16 96  8 65 32 69 77 58 28 12 27 37 91 17 29  2 46 36 70 21 90 23
  5 42 97 95 82 38 14 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 41
 98 63  7 24 89 87 49 57  6 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 66 33 92]",15.597996711730957
9,"{'population_size': 500, 'generations': 1200, 'elite_size': 30, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.00125,"[92 54 75 45  1 20 22 68 64 72 79 80 10 91 17 29  3 27 37 12 28 48 93 71
 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58  2 46 36 70 21 90 24
  7 63 98 41 43 53 50 11 88  9 40 19 34 85  4  0 56 13 35 82 95 97 42  5
 23 89 87 59 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 51 84 66 33 92]",10.911144971847534
10,"{'population_size': 700, 'generations': 600, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012484394506866417,"[22 68 64 72 79 91 17 80 10 27 37 48 93 71  1 20 78 39 76 67 18 31 61 60
 30 16 96  8 65 32 69 42 97 95 82 38 59 35  0 56 13  4 85 34 19 40  9 88
 50 11 43 53 41 98 63  7 90 77 58 28 12  3 29  2 46 36 70 21 24 23  5 89
 87 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 33
 92 54 75 45 22]",7.820642948150635
11,"{'population_size': 1000, 'generations': 1200, 'elite_size': 20, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012484394506866417,"[ 6 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 33 92 45 75 54
  1 20 22 68 64 72 79 10 80 17 29 48 93 71 78 39 76 67 18 31 61 60 30 16
 96  8 65 32 69 77 58 28 12  3 27 37 91  2 46 36 70 21 90 23  5 42 97 95
 82 38 14 59 35  0 56 13  4 85 34 19  9 40 88 50 11 43 53 41 98 63  7 24
 89 87 49 57  6]",22.66597008705139
12,"{'population_size': 700, 'generations': 1200, 'elite_size': 5, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012453300124533001,"[12  3 27 37 91 29  2 46 36 17 80 10 79 72 64 68 22 78 39 76 67 18 31 61
 60 30 16 96  8 65 32 69 77 58 90 24  7 21 70 63 98 41 43 53 19 88 50 11
  9 40 34 85  4  0 56 13 14 82 95 97 42  5 23 89 87 35 59 38 49  6 57 83
 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 54 75 45 92 33 20  1
 71 93 48 28 12]",15.741586923599243
13,"{'population_size': 1000, 'generations': 1200, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012453300124533001,"[61 60 30 16 96  8 65 32 69 77 58 28 12  3 91 17 29  2 46 36 70 21 90 23
  5 42 97 95 82 38 59 35  0 56 13  4 85 34 19 40 88  9 11 50 43 53 41 98
 63  7 24 89 87 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 66 92 33 54 75 45 22 68 64 72 79 10 80 27 37 48 93 71  1 20 78 39
 76 67 18 31 61]",22.29961085319519
14,"{'population_size': 1000, 'generations': 200, 'elite_size': 20, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012422360248447205,"[85 34 19 40  9 88 50 11 43 53 41 98 63  7 24 89 87 49  6 57 83 86 55 99
 26 81 94 25 47 52 15 62 74 73 44 51 84 33 92 66 54 75 45  1 20 22 68 64
 72 79 10 80 17 91  3 48 93 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32
 69 77 58 28 12 27 37 29  2 46 36 70 21 90 23  5 42 97 95 82 38 14 59 35
  0 56 13  4 85]",3.861431837081909
15,"{'population_size': 700, 'generations': 600, 'elite_size': 30, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012406947890818859,"[72 79 80 10 17 29 48 93 71  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65
 32 69 77 58 28 12  3 27 37 91  2 46 36 70 21 90 23  5 42 97 95 82 38 14
 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 41 98 63  7 24 89 87 49
  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 33 92 54 75
 45 22 68 64 72]",7.601095199584961
16,"{'population_size': 700, 'generations': 800, 'elite_size': 5, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012406947890818859,"[40 88 50 11 43 63 98 41 53 19 87 38 14 49  6 57 83 86 55 99 26 81 94 25
 47 52 15 62 74 73 44 84 51 92 33 66 54 75 45 22 68 64 72 79 10 80 17 91
 37 27  3 12 28 48 93 71  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65 32
 69 77 58 29  2 46 36 70 21  7 24 90 23  5 89 42 97 95 82 59 35  0 56 13
  4 85 34  9 40]",10.49145793914795
17,"{'population_size': 1000, 'generations': 600, 'elite_size': 30, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012406947890818859,"[ 9 50 11 88 43 53 19 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74
 73 44 84 51 66 92 33 54 75 45 22 68 64 72 79 10 80 17 91 27 37 48 93 71
  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 29  2
 46 36 70 21 63 98 41  7 24 90 23  5 89 42 97 95 82 38 14 59 35  0 56 13
  4 85 34 40  9]",10.940249919891357
18,"{'population_size': 1000, 'generations': 1200, 'elite_size': 5, 'tournament_size': 20, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012406947890818859,"[ 5 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50 11 43 53 41
 98 63  7 24 89 87 49 57  6 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 92 33 66 54 75 45 22 68 64 72 79 10 80 48 93 71  1 20 78 39 76 67
 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91 17 29  2 46 36
 70 21 90 23  5]",22.822251558303833
19,"{'population_size': 500, 'generations': 200, 'elite_size': 5, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[51 66 92 33 84 54 75 45 22 68 64 72 79 10 80 17 91 37 27  3 12 28 48 93
 71 78 39 76  1 20 67 18 31 61 60 30 16 96  8 65 32 69 77 58 29  2 46 36
 90 24  7 21 70 63 98 41 43 53 88 50 11 19 40  9 34 85  4  0 56 13 35 59
 38 14 82 95 97 42  5 23 89 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15
 62 74 73 44 51]",1.894261121749878
20,"{'population_size': 700, 'generations': 600, 'elite_size': 20, 'tournament_size': 25, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[11 43 53 41 98 63  7 24 89 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15
 62 74 73 44 84 51 66 54 75 33 92 45  1 20 22 68 64 72 79 10 80 17 29 48
 93 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37
 91  2 46 36 70 21 90 23  5 42 97 95 82 38 14 59 35  0 56 13  4 85 34  9
 40 19 88 50 11]",7.7675580978393555
21,"{'population_size': 700, 'generations': 1200, 'elite_size': 30, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[97 95 82 59 35  0 56 13  4 85 34  9 40 19 88 50 11 43 53 87 38 14 49  6
 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84 51 66 92 33 54 75 45
 22 93 71  1 20 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 48
 12  3 27 37 68 64 72 79 10 80 91 17 29  2 46 36 70 21  7 41 98 63 24 90
 23  5 89 42 97]",15.609683990478516
22,"{'population_size': 1000, 'generations': 200, 'elite_size': 5, 'tournament_size': 25, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[88 50 11  9 40 19 34 85  4  0 56 13 35 59 82 95 97 42  5 23 89 87 38 14
 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51 84 66 92 33 54
 75 45  1 20 22 68 64 37 27 72 79 10 36 46  2 29 17 80 91  3 12 28 48 93
 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 90 24  7 21 70 63
 98 41 43 53 88]",3.8439598083496094
23,"{'population_size': 1000, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.02, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012391573729863693,"[ 9 40 19 88 50 11 43 53 41 98 63  7 24 89 87 49  6 57 83 86 55 99 26 81
 94 25 47 52 15 62 74 73 44 51 84 33 92 66 54 75 45 22 68 64 72 79 10 80
  3 48 93  1 20 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28
 12 27 37 91 17 29  2 46 36 70 21 90 23  5 42 97 95 82 38 14 59 35  0 56
 13  4 85 34  9]",15.325571775436401
24,"{'population_size': 700, 'generations': 800, 'elite_size': 10, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012376237623762376,"[92 45 75  1 20 22 68 64 72 79 10 80 17 29  3 48 93 71 78 39 76 67 18 31
 61 60 30 16 96  8 65 32 69 77 58 28 12 27 37 91  2 46 36 70 21 90 23  5
 89 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50 11 43 53 41
 98 63  7 24 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 84
 51 66 54 33 92]",10.898734092712402
25,"{'population_size': 700, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[63  7 24 89 87 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44 51
 84 66 92 33 54 75 45 22 68 64 72 79 10 80 17 29 48 93 71  1 20 78 39 76
 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 27 37 91  2 46 36 70
 21 90 23  5 42 97 95 82 38 14 59 35  0 56 13  4 85 34 19 40  9 88 50 11
 43 53 41 98 63]",10.68023419380188
26,"{'population_size': 700, 'generations': 800, 'elite_size': 10, 'tournament_size': 20, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[20 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12 27 37 91  2 46 36 70
 21 90 23  5 42 97 95 82 59 35  0 56 13  4 85 34 40 19  9 88 50 11 43 53
 41 98 63  7 24 89 87 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62
 74 73 44 84 51 92 33 66 54 75 45 22 68 64 72 79 10 80 17 29  3 48 93 71
 78 39 76  1 20]",10.28821587562561
27,"{'population_size': 1000, 'generations': 800, 'elite_size': 5, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[98 63  7 24 89 87 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73
 44 84 51 66 33 92 54 75 45 22 68 64 72 79 27 37 91 10 80 17  3 12 28 48
 93  1 20 71 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 29  2 46
 36 70 21 90 23  5 42 97 95 82 38 59 35  0 56 13  4 85 34 19 40  9 88 50
 11 43 53 41 98]",15.390726089477539
28,"{'population_size': 1000, 'generations': 800, 'elite_size': 20, 'tournament_size': 40, 'mutation_rate': 0.01, 'mutation_type': 'swap', 'crossover_type': 'ox'}",0.0012360939431396785,"[43 53 19 87 38 14 49  6 57 83 86 55 99 26 81 94 25 47 52 15 62 74 73 44
 84 51 66 54 92 33 45 75  1 20 22 68 64 72 79 10 80 17 91 27 37 48 93 71
 78 39 76 67 18 31 61 60 30 16 96  8 65 32 69 77 58 28 12  3 29  2 46 36
 70 21 41 98 63  7 24 90 23  5 89 42 97 95 82 59 35  0 56 13  4 85 34  9
 40 88 11 50 43]",15.168673992156982
